fill;def;csc
0;441866.6667;1480.0000
5;441125.0000;160500.0000
10;438000.0000;321058.8235
15;436000.0000;475058.8235
20;437700.0000;628000.0000
25;434500.0000;781500.0000
30;438500.0000;925000.0000
35;440300.0000;1068333.3333
40;438741.9355;1201166.6667
45;442761.9048;1335000.0000
50;444666.6667;1470666.6667
55;446214.2857;1522666.6667
60;443576.9231;1594000.0000
65;442833.3333;1600666.6667
70;439125.0000;1593500.0000
75;435500.0000;1582000.0000
80;440333.3333;1570333.3333
85;438600.0000;1497500.0000
90;440310.3448;1390111.1111
95;438000.0000;1346000.0000
100;435500.0000;1204833.3333
