size;fill;def;csc;result
10;0;424;156;2.717948717948718
10;5;424;196;2.163265306122449
10;10;424;236;1.7966101694915255
10;15;424;276;1.536231884057971
10;20;424;316;1.3417721518987342
10;25;424;356;1.1910112359550562
10;30;424;396;1.0707070707070707
10;35;424;436;0.9724770642201835
10;40;424;476;0.8907563025210085
10;45;424;516;0.8217054263565892
10;50;424;556;0.762589928057554
10;55;424;596;0.7114093959731543
10;60;424;636;0.6666666666666666
10;65;424;676;0.6272189349112426
10;70;424;716;0.5921787709497207
10;75;424;756;0.5608465608465608
10;80;424;796;0.5326633165829145
10;85;424;836;0.507177033492823
10;90;424;876;0.4840182648401826
10;95;424;916;0.462882096069869
10;100;424;956;0.4435146443514644
60;0;14424;356;40.51685393258427
60;5;14424;1796;8.031180400890868
60;10;14424;3236;4.457354758961681
60;15;14424;4676;3.0846877673224977
60;20;14424;6116;2.358404185742315
60;25;14424;7556;1.9089465325569084
60;30;14424;8996;1.6033792796798576
60;35;14424;10436;1.3821387504791107
60;40;14424;11876;1.214550353654429
60;45;14424;13316;1.0832081706218084
60;50;14424;14756;0.977500677690431
60;55;14424;16196;0.8905902692022721
60;60;14424;17636;0.817872533454298
60;65;14424;19076;0.7561333612916754
60;70;14424;20516;0.7030610255410411
60;75;14424;21956;0.656950264164693
60;80;14424;23396;0.6165156436997777
60;85;14424;24836;0.5807698502174263
60;90;14424;26276;0.5489420003044604
60;95;14424;27716;0.5204214172319238
60;100;14424;29156;0.4947180683221292
110;0;48424;556;87.09352517985612
110;5;48424;5396;8.97405485544848
110;10;48424;10236;4.730754200859711
110;15;48424;15076;3.211992570973733
110;20;48424;19916;2.431411930106447
110;25;48424;24756;1.9560510583292938
110;30;48424;29596;1.6361670496012974
110;35;48424;34436;1.406202811011732
110;40;48424;39276;1.2329157755372238
110;45;48424;44116;1.097651645661438
110;50;48424;48956;0.9891330991094044
110;55;48424;53796;0.9001412744441966
110;60;48424;58636;0.8258407804079405
110;65;48424;63476;0.7628710063646102
110;70;48424;68316;0.7088237016218748
110;75;48424;73156;0.6619279348242113
110;80;48424;77996;0.6208523514026361
110;85;48424;82836;0.5845767540682795
110;90;48424;87676;0.5523062183493772
110;95;48424;92516;0.5234121665441653
110;100;48424;97356;0.4973910185299314
160;0;102424;756;135.4814814814815
160;5;102424;10996;9.314659876318661
160;10;102424;21236;4.823130533057073
160;15;102424;31476;3.254034820180455
160;20;102424;41716;2.4552689615495256
160;25;102424;51956;1.9713603818615753
160;30;102424;62196;1.646794006045405
160;35;102424;72436;1.4139930421337457
160;40;102424;82676;1.2388601286951473
160;45;102424;92916;1.102328985320074
160;50;102424;103156;0.9929039512970647
160;55;102424;113396;0.9032417369219373
160;60;102424;123636;0.8284318483289657
160;65;102424;133876;0.7650661806447757
160;70;102424;144116;0.7107052652030309
160;75;102424;154356;0.6635569721941486
160;80;102424;164596;0.6222751464191111
160;85;102424;174836;0.5858290054679814
160;90;102424;185076;0.5534158940111089
160;95;102424;195316;0.5244014827254295
160;100;102424;205556;0.49827784156142363
210;0;176424;956;184.5439330543933
210;5;176424;18596;9.487201548720154
210;10;176424;36236;4.868749310078375
210;15;176424;53876;3.2746306333061104
210;20;176424;71516;2.4669164942110857
210;25;176424;89156;1.9788236349768944
210;30;176424;106796;1.6519719839694371
210;35;176424;124436;1.4177890642579318
210;40;176424;142076;1.2417579323742223
210;45;176424;159716;1.1046106839640362
210;50;176424;177356;0.9947450325898194
210;55;176424;194996;0.9047570206568339
210;60;176424;212636;0.8296995805037717
210;65;176424;230276;0.7661414997654988
210;70;176424;247916;0.7116281321092628
210;75;176424;265556;0.6643570471011764
210;80;176424;283196;0.6229749007754347
210;85;176424;300836;0.5864457711178184
210;90;176424;318476;0.5539632499780203
210;95;176424;336116;0.5248902164728844
210;100;176424;353756;0.4987166295412657
260;0;270424;1156;233.93079584775086
260;5;270424;28196;9.590863952333665
260;10;270424;55236;4.895792599029618
260;15;270424;82276;3.2867908016918665
260;20;270424;109316;2.473782428921658
260;25;270424;136356;1.9832203936753792
260;30;270424;163396;1.6550221547651105
260;35;270424;190436;1.420025625406961
260;40;270424;217476;1.2434659456675679
260;45;270424;244516;1.1059562564412964
260;50;270424;271556;0.9958314307177893
260;55;270424;298596;0.9056517836809602
260;60;270424;325636;0.8304487218857866
260;65;270424;352676;0.7667774387823385
260;70;270424;379716;0.712174361891519
260;75;270424;406756;0.6648310043367522
260;80;270424;433796;0.6233897961253677
260;85;270424;460836;0.5868117942174657
260;90;270424;487876;0.554288384753503
260;95;270424;514916;0.5251808061897475
260;100;270424;541956;0.49897777679368804
310;0;384424;1356;283.4985250737463
310;5;384424;39796;9.659865313096793
310;10;384424;78236;4.913645891916764
310;15;384424;116676;3.294799273201001
310;20;384424;155116;2.4783001108847573
310;25;384424;193556;1.986112546239848
310;30;384424;231996;1.6570285694580942
310;35;384424;270436;1.421497137955006
310;40;384424;308876;1.2445900620313652
310;45;384424;347316;1.1068421840629283
