size;fill;def;csc;compare
10;0;2000.0;1000.0;2.0
10;5;2000.0;920.0;2.1739130434782608
10;10;1770.0;1450.0;1.2206896551724138
10;15;2160.0;1360.0;1.588235294117647
10;20;1000.0;2000.0;0.5
10;25;2000.0;2000.0;1.0
10;30;2000.0;2380.0;0.8403361344537815
10;35;1630.0;3730.0;0.43699731903485256
10;40;1000.0;2390.0;0.41841004184100417
10;45;1000.0;3000.0;0.3333333333333333
10;50;1000.0;3000.0;0.3333333333333333
10;55;1220.0;2610.0;0.4674329501915709
10;60;1440.0;2820.0;0.5106382978723404
10;65;2000.0;3000.0;0.6666666666666666
10;70;1000.0;2800.0;0.35714285714285715
10;75;1000.0;2360.0;0.423728813559322
10;80;1000.0;2410.0;0.4149377593360996
10;85;1000.0;2270.0;0.44052863436123346
10;90;1000.0;2000.0;0.5
10;95;1000.0;2000.0;0.5
10;100;1000.0;2000.0;0.5
60;0;21750.0;600.0;36.25
60;5;17326.5306;6200.0;2.794601709677419
60;10;13466.6667;9080.0;1.4831130726872246
60;15;11538.4615;11910.0;0.9688044920235096
60;20;10610.0;14000.0;0.7578571428571429
60;25;11000.0;17581.0811;0.6256725588962786
60;30;10187.5;20428.5714;0.49868881188627806
60;35;10000.0;23400.0;0.42735042735042733
60;40;10383.8384;26257.1429;0.39546718542633214
60;45;10000.0;28000.0;0.35714285714285715
60;50;10000.0;31583.3333;0.31662269162704243
60;55;11000.0;33210.0;0.331225534477567
60;60;10142.8571;35333.3333;0.2870619936670396
60;65;10250.0;34387.0968;0.29807692285322557
60;70;10100.0;33891.8919;0.2980063795140335
60;75;10000.0;33571.4286;0.2978723401720235
60;80;10000.0;32250.0;0.31007751937984496
60;85;10000.0;33000.0;0.30303030303030304
60;90;34890.0;29400.0;1.186734693877551
60;95;10121.9512;28620.0;0.3536670580013976
60;100;10580.0;25785.7143;0.4103047089139586
110;0;31968.75;410.0;77.97256097560975
110;5;31250.0;12500.0;2.5
110;10;32166.6667;23000.0;1.3985507260869565
110;15;32605.2632;34666.6667;0.9405364375571765
110;20;32467.7419;45000.0;0.7215053755555556
110;25;31250.0;58479.1667;0.5343783395600266
110;30;31500.0;67250.0;0.4684014869888476
110;35;32090.9091;92500.0;0.34692874702702703
110;40;32000.0;88900.0;0.35995500562429694
110;45;31500.0;98545.4545;0.3196494466419047
110;50;32391.3043;106510.2041;0.3041145641744198
110;55;32000.0;109000.0;0.29357798165137616
110;60;31500.0;113886.3636;0.27659149879116873
110;65;32000.0;113000.0;0.2831858407079646
110;70;32166.6667;114849.0566;0.28007776164876225
110;75;32000.0;111500.0;0.28699551569506726
110;80;32000.0;107500.0;0.29767441860465116
110;85;33000.0;107500.0;0.30697674418604654
110;90;32597.0149;98500.0;0.33093416142131976
110;95;32000.0;92000.0;0.34782608695652173
110;100;31000.0;84500.0;0.3668639053254438
160;0;69137.931;0.0;inf
160;5;68111.1111;25875.0;2.632313472463768
160;10;67000.0;49343.75;1.3578214059531348
160;15;68000.0;73964.2857;0.919362626927931
160;20;68285.7143;101000.0;0.6760961811881189
160;25;67500.0;117500.0;0.574468085106383
160;30;69266.6667;143800.0;0.4816875292072323
160;35;67000.0;170633.3333;0.3926548154703369
160;40;70500.0;192111.1111;0.36697513015424954
160;45;67500.0;203500.0;0.3316953316953317
160;50;67666.6667;226821.4286;0.2983257230926373
160;55;67000.0;235969.697;0.2839347630301869
160;60;67000.0;237000.0;0.28270042194092826
160;65;68941.1765;237833.3333;0.28987180032093507
160;70;67000.0;236000.0;0.2838983050847458
160;75;68214.2857;234785.7143;0.29053848486215156
160;80;69500.0;229600.0;0.30270034843205573
160;85;67000.0;218666.6667;0.30640243897768255
160;90;68580.6452;207000.0;0.3313074647342995
160;95;67000.0;192500.0;0.34805194805194806
160;100;67000.0;181960.0;0.36821279402066387
210;0;117239.1304;1000.0;117.2391304
210;5;114857.1429;43500.0;2.6403940896551727
210;10;115580.0;84500.0;1.367810650887574
210;15;113000.0;122500.0;0.9224489795918367
210;20;115790.0;164333.3333;0.7046044626175668
210;25;113000.0;207735.8491;0.5439600362169748
210;30;116375.0;243833.3333;0.47727272733797305
210;35;118175.0;282000.0;0.41906028368794324
210;40;119150.0;324952.381;0.3666691089732314
210;45;113000.0;353750.0;0.31943462897526503
210;50;116571.4286;374000.0;0.3116883117647059
210;55;114000.0;399333.3333;0.2854757930121432
210;60;116481.4815;411636.3636;0.2829717969552095
210;65;113000.0;414466.6667;0.2726395367321345
210;70;113500.0;403000.0;0.2816377171215881
210;75;115217.3913;410500.0;0.2806757400730816
210;80;113000.0;393000.0;0.2875318066157761
210;85;117323.5294;377285.7143;0.3109673251680815
210;90;113000.0;367409.0909;0.30755907460862447
210;95;115857.1429;352000.0;0.32913961051136364
210;100;115940.0;309000.0;0.375210355987055
260;0;183785.7143;1000.0;183.7857143
260;5;183612.9032;66000.0;2.7820136848484847
260;10;183941.1765;128000.0;1.43704044140625
260;15;182933.3333;189000.0;0.9679012343915344
260;20;179000.0;257894.7368;0.6940816327663807
260;25;180500.0;315545.4545;0.57202535300663
260;30;181000.0;369000.0;0.4905149051490515
260;35;184357.1429;432400.0;0.42635786979648477
260;40;184272.7273;486200.0;0.3790060207733443
260;45;179500.0;541000.0;0.3317929759704251
260;50;182500.0;578500.0;0.31547104580812446
260;55;180000.0;610666.6667;0.2947598253114214
260;60;178500.0;625400.0;0.28541733290693955
260;65;182777.7778;630523.8095;0.2898824359145791
260;70;181000.0;649500.0;0.27867590454195534
260;75;183444.4444;634700.0;0.28902543626910354
260;80;178500.0;613333.3333;0.29103260871146913
260;85;183666.6667;583500.0;0.3147672094258783
260;90;179000.0;555846.1538;0.32203155275300566
260;95;180000.0;528875.0;0.34034507208697706
260;100;182000.0;480166.6667;0.3790350572454679
310;0;256222.2222;1130.0;226.74532938053096
310;5;257187.5;93333.3333;2.755580358126993
310;10;256500.0;181500.0;1.4132231404958677
310;15;254952.381;267500.0;0.9530930130841121
310;20;251500.0;359000.0;0.7005571030640668
310;25;255000.0;446375.0;0.5712685522262672
310;30;255571.4286;535666.6667;0.47710907638599204
310;35;255600.0;614666.6667;0.4158351409752801
310;40;254333.3333;689800.0;0.36870590504494055
310;45;257250.0;773000.0;0.33279430789133246
310;50;251000.0;854000.0;0.2939110070257611
310;55;252000.0;919000.0;0.27421109902067464
310;60;251000.0;898894.7368;0.2792318051538958
310;65;256916.6667;911000.0;0.28201609956092205
310;70;255600.0;894500.0;0.28574622694242596
310;75;255647.0588;908750.0;0.2813172586519945
310;80;261727.2727;882500.0;0.2965748132577904
310;85;302180.0;852000.0;0.3546713615023474
310;90;259190.4762;795000.0;0.3260257562264151
310;95;258363.6364;749714.2857;0.34461613087546905
310;100;255250.0;720500.0;0.35426786953504513
360;0;342409.0909;1300.0;263.3916083846154
360;5;341800.0;135333.3333;2.525615764168871
360;10;339333.3333;251727.2727;1.3480197423995688
360;15;342100.0;371111.1111;0.9218263473329888
360;20;343000.0;488900.0;0.7015749642053589
360;25;340538.4615;590000.0;0.5771838330508474
360;30;339000.0;731000.0;0.4637482900136799
360;35;335000.0;823500.0;0.4068002428658166
360;40;339526.3158;936500.0;0.362548121516284
360;45;333500.0;1047000.0;0.31852913085004775
360;50;337555.5556;1117000.0;0.30219834879140556
360;55;333000.0;1187833.3333;0.28034236004715424
360;60;335500.0;1254500.0;0.26743722598644876
360;65;346900.0;1228500.0;0.28237688237688235
360;70;339000.0;1236428.5714;0.274176776436145
360;75;335500.0;1227400.0;0.27334202379012545
360;80;335500.0;1190000.0;0.2819327731092437
360;85;337750.0;1201000.0;0.2812239800166528
360;90;344650.0;1099000.0;0.31360327570518653
360;95;341818.1818;1007333.3333;0.339329763545312
360;100;333500.0;975500.0;0.3418759610456176
410;0;445800.0;2000.0;222.9
410;5;441833.3333;162230.7692;2.723486644850353
410;10;453788.8889;318166.6667;1.4262615678966726
410;15;439285.7143;483750.0;0.9080841639276486
410;20;439833.3333;644000.0;0.6829710144409938
410;25;441800.0;774800.0;0.5702116675271037
410;30;443166.6667;917000.0;0.48327880774263904
410;35;441375.0;1075500.0;0.4103905160390516
410;40;440941.1765;1220000.0;0.361427193852459
410;45;443875.0;1337000.0;0.3319932685115931
410;50;453500.0;1486285.7143;0.3051230296010657
410;55;442684.2105;1588750.0;0.2786367965381589
410;60;443166.6667;1576142.8571;0.2811716366341296
410;65;440941.1765;1593000.0;0.2767992319522913
