size;static;list
10;1667.9300;295.9300
110;1290.1786;3353.5100
210;1646.6500;5761.6500
310;1861.8475;8427.1300
410;2199.5370;11937.5900
510;3167.8300;13766.4100
610;2910.9200;16981.0500
710;3337.9500;72480.8200
810;3593.1700;29065.8100
910;4897.9500;27347.8700
1010;4062.2400;30391.8100
1110;4278.2051;36146.5400
1210;11610.1700;33981.2800
1310;4793.7200;37346.4700
1410;5453.9900;44631.6700
1510;5793.5100;44993.6500
1610;5906.4500;46140.1300
1710;6222.2800;56410.0100
1810;6807.5600;50372.9200
1910;6706.5278;53844.8900
2010;7438.3500;56407.3800
2110;8085.4800;59045.2900
2210;7443.9500;63710.4600
2310;8020.0700;65097.0700
2410;9368.1500;68211.7000
2510;8322.7059;71564.7000
2610;9584.6300;74033.5300
2710;9557.3030;82433.0500
2810;10186.9600;81611.1700
2910;9878.9500;84343.5100
3010;11488.8400;85968.6900
3110;10084.8261;87607.7300
3210;10703.0200;91010.5600
3310;11872.1700;93073.8200
3410;11319.3100;94212.3300
3510;12352.1400;101282.0800
3610;11536.0909;103031.1900
3710;12709.1000;104079.4300
3810;13042.5600;108715.4400
3910;13622.4800;110785.3400
4010;13305.2500;114064.7800
4110;13583.4400;114290.4500
4210;14542.7700;118234.3750
4310;13861.2700;121259.0638
4410;14171.9000;125178.5862
4510;15570.9100;126669.4000
4610;15726.7300;131471.0300
4710;16138.5600;132703.0300
4810;16502.8800;135354.8690
4910;15907.6200;141928.0300
5010;15746.9524;142724.8500
5110;15960.4000;148723.1011
5210;16217.8000;146905.0267
5310;17916.9300;149445.0200
5410;18286.5200;153910.3816
5510;18253.6400;154786.0000
5610;18697.0800;155460.3875
5710;18175.7400;159401.6444
5810;19163.7500;163512.1446
5910;19757.5000;167311.6932
6010;20832.0900;171045.3298
6110;20060.0500;176239.8500
6210;21018.6100;179409.3559
6310;19454.3684;187634.2400
6410;20528.1200;178606.1622
6510;21355.4300;181511.2317
6610;22125.0500;192056.5636
6710;20936.1667;186455.7000
6810;21121.5278;189171.8472
6910;22868.7300;200256.4600
7010;23079.6400;230811.3300
7110;24230.2500;200751.2500
7210;22301.6923;203726.9506
7310;23809.3900;205443.9180
7410;24714.8500;211502.2540
7510;24023.9100;230028.4400
7610;25467.0100;255064.0200
7710;31645.1600;218765.4746
7810;23942.7619;221521.7647
7910;24506.4194;225661.4058
8010;27218.6600;224835.5070
8110;27271.3300;260225.0700
8210;33297.9300;262156.2600
8310;28203.4700;236924.2828
8410;28077.1800;238804.0656
8510;27850.0400;243113.6600
8610;26569.1429;254885.1000
8710;29035.6400;249167.9100
8810;32512.2900;251825.4675
8910;33745.3400;256163.1000
9010;32850.9700;265941.1100
9110;30645.5100;287902.8600
9210;30481.8800;319884.4400
9310;32756.9400;277410.1500
9410;32029.7300;270531.5094
9510;31860.8500;276088.0000
9610;32492.5100;276638.7412
9710;30973.5800;274502.1515
9810;31971.6800;282678.7821
9910;32497.6300;279320.7246
